idmatch,result_finish_match,result_finish_match_prediction,proba_win_1,proba_draw,proba_win_2
2626,,1,0.37333333333333335,0.29,0.33666666666666667
71562,,1,0.36,0.3566666666666667,0.2833333333333333
51792,,2,0.31,0.36666666666666664,0.3233333333333333
55129,,1,0.4266666666666667,0.30666666666666664,0.26666666666666666
71456,,2,0.32,0.34,0.34
133433,,1,0.35,0.3,0.35
98169,,3,0.27666666666666667,0.32,0.4033333333333333
29689,,3,0.31,0.31666666666666665,0.37333333333333335
102054,,2,0.3333333333333333,0.37333333333333335,0.29333333333333333
148181,,3,0.34,0.31333333333333335,0.3466666666666667
111226,,2,0.29333333333333333,0.36333333333333334,0.3433333333333333
129549,,1,0.38666666666666666,0.30666666666666664,0.30666666666666664
106707,,1,0.37666666666666665,0.3,0.3233333333333333
149034,,3,0.30666666666666664,0.3433333333333333,0.35
177665,,1,0.3933333333333333,0.26,0.3466666666666667
47765,,2,0.33,0.37666666666666665,0.29333333333333333
104042,,3,0.3233333333333333,0.30666666666666664,0.37
74822,,3,0.24,0.26,0.5
55407,,3,0.34,0.30333333333333334,0.3566666666666667
74000,,1,0.37666666666666665,0.2866666666666667,0.33666666666666667
118944,,3,0.29,0.35333333333333333,0.3566666666666667
122876,,3,0.3566666666666667,0.2633333333333333,0.38
23309,,2,0.30666666666666664,0.3566666666666667,0.33666666666666667
32859,,3,0.30666666666666664,0.27,0.42333333333333334
152461,,3,0.31666666666666665,0.28,0.4033333333333333
106622,,1,0.38666666666666666,0.25666666666666665,0.3566666666666667
187520,,1,0.38666666666666666,0.36,0.25333333333333335
48573,,1,0.3566666666666667,0.29333333333333333,0.35
136738,,3,0.23333333333333334,0.34,0.4266666666666667
62159,,2,0.32666666666666666,0.39,0.2833333333333333
102203,,1,0.36,0.33,0.31
13848,,3,0.31333333333333335,0.32666666666666666,0.36
4021,,3,0.34,0.24,0.42
97218,,3,0.2833333333333333,0.3466666666666667,0.37
58397,,1,0.4033333333333333,0.3466666666666667,0.25
127455,,3,0.31,0.34,0.35
102083,,2,0.2966666666666667,0.39,0.31333333333333335
177188,,1,0.38,0.31,0.31
45468,,2,0.33666666666666667,0.37,0.29333333333333333
132988,,3,0.30666666666666664,0.3233333333333333,0.37
17665,,3,0.31333333333333335,0.2633333333333333,0.42333333333333334
171106,,1,0.38666666666666666,0.32,0.29333333333333333
103458,,2,0.32666666666666666,0.37333333333333335,0.3
59339,,1,0.4033333333333333,0.35333333333333333,0.24333333333333335
104325,,1,0.4033333333333333,0.25333333333333335,0.3433333333333333
122194,,1,0.34,0.3333333333333333,0.32666666666666666
120543,,3,0.3,0.32666666666666666,0.37333333333333335
149897,,1,0.37333333333333335,0.26666666666666666,0.36
120322,,2,0.34,0.3433333333333333,0.31666666666666665
61634,,1,0.37,0.2733333333333333,0.3566666666666667
4442,,3,0.27,0.3,0.43
81984,,1,0.36666666666666664,0.3233333333333333,0.31
64855,,1,0.39,0.28,0.33
66141,,3,0.31,0.31666666666666665,0.37333333333333335
55319,,2,0.26,0.44666666666666666,0.29333333333333333
133792,,2,0.32,0.38666666666666666,0.29333333333333333
123165,,3,0.24,0.34,0.42
39252,,3,0.26,0.25666666666666665,0.48333333333333334
134265,,1,0.3566666666666667,0.3466666666666667,0.2966666666666667
67863,,2,0.2866666666666667,0.4,0.31333333333333335
135118,,3,0.31333333333333335,0.26666666666666666,0.42
117066,,3,0.33,0.2966666666666667,0.37333333333333335
46487,,1,0.3466666666666667,0.34,0.31333333333333335
103901,,1,0.41,0.2633333333333333,0.32666666666666666
60527,,1,0.37666666666666665,0.3433333333333333,0.28
109806,,2,0.30333333333333334,0.38666666666666666,0.31
145700,,1,0.4,0.3233333333333333,0.27666666666666667
72554,,3,0.3,0.29,0.41
70206,,2,0.30666666666666664,0.39666666666666667,0.2966666666666667
85770,,3,0.3566666666666667,0.24666666666666667,0.39666666666666667
151026,,2,0.2733333333333333,0.37,0.3566666666666667
95087,,1,0.39666666666666667,0.25333333333333335,0.35
149621,,1,0.37333333333333335,0.3433333333333333,0.2833333333333333
91370,,2,0.32,0.3433333333333333,0.33666666666666667
