idmatch,result_finish_match,result_finish_match_prediction,proba_win_1,proba_draw,proba_win_2
71838,,1,0.362012653562909,0.28569647429631617,0.35229087214077487
34662,,1,0.3695062045439475,0.29256905555571955,0.33792473990033306
91074,,1,0.3555850555628648,0.3264776997914577,0.31793724464567763
133191,,1,0.3742295415299303,0.2894280818454474,0.3363423766246224
129500,,1,0.3546532421747676,0.3070735962599593,0.3382731615652732
153601,,1,0.38822703846328216,0.27148452978435367,0.3402884317523641
20218,,1,0.37821864142187,0.28931420472936753,0.3324671538487625
25798,,1,0.3751737590327621,0.30100455702389606,0.3238216839433418
71494,,1,0.35789311436410426,0.3033513459554484,0.33875553968044736
98100,,1,0.3850860487413013,0.2918810893449245,0.3230328619137743
85093,,1,0.37446043980474064,0.29127657042967725,0.3342629897655821
185580,,1,0.3812066025351786,0.29683886424598166,0.3219545332188399
108415,,1,0.3709071879135036,0.288187921622156,0.3409048904643403
69585,,1,0.37803535535360083,0.2788980210266344,0.3430666236197647
125565,,1,0.35526322052650444,0.323523324026293,0.32121345544720253
70602,,1,0.3875635982770929,0.2918787986712431,0.3205576030516639
124246,,1,0.3742969856375448,0.3166633153113639,0.30903969905109135
45782,,1,0.3555286853348442,0.2919569266916164,0.3525143879735395
134393,,1,0.3924134325371226,0.2834984531745556,0.3240881142883219
97398,,1,0.36488934890068536,0.30244337120355214,0.3326672798957625
144433,,1,0.3730476178086917,0.28848049705418055,0.3384718851371278
98440,,1,0.3694679980183624,0.30783455174556457,0.32269745023607305
19118,,1,0.3651762457073205,0.2952344852291411,0.3395892690635386
29715,,1,0.38412835670903756,0.29097605773558965,0.32489558555537273
97563,,1,0.3840950732174658,0.3012300157408209,0.3146749110417132
70664,,1,0.381238593810784,0.2895769416569618,0.3291844645322543
108748,,1,0.371516346854999,0.2940752592022679,0.33440839394273303
134257,,1,0.37496829659488334,0.2908636690096673,0.33416803439544923
32773,,1,0.3772849283187613,0.3018100499294518,0.320905021751787
20154,,1,0.38167349137120554,0.2947842382580363,0.32354227037075817
15786,,1,0.36951121646860813,0.3069836042932072,0.3235051792381847
172454,,1,0.3748925217783202,0.30608071851559693,0.31902675970608285
133471,,1,0.3688231755374631,0.30525570934894286,0.3259211151135941
110248,,1,0.3865745062270999,0.2766492841047672,0.3367762096681329
30180,,1,0.3761161493891346,0.28286386598448315,0.3410199846263822
46734,,1,0.37626387325585764,0.29611584819523956,0.3276202785489029
97622,,1,0.3648176126685047,0.31612046373827657,0.31906192359321867
27371,1.0,1,0.3930426251676456,0.2881355805041118,0.3188217943282427
